Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Felix REITH,,ilca 7,5.0,0,GERAL,1,,7.0,7.0,Escola laser 2023,1
Felix REITH,,ilca 7,1.0,0,GERAL,1,,7.0,7.0,Escola laser 2023,2
Felix REITH,,ilca 7,1.0,0,GERAL,1,,7.0,7.0,Escola laser 2023,3
Robert STRENZ,,ilca 7,3.0,0,GERAL,2,,8.0,8.0,Escola laser 2023,1
Robert STRENZ,,ilca 7,3.0,0,GERAL,2,,8.0,8.0,Escola laser 2023,2
Robert STRENZ,,ilca 7,2.0,0,GERAL,2,,8.0,8.0,Escola laser 2023,3
Thomas DEIMLING,,ilca 7,4.0,0,GERAL,3,,10.0,10.0,Escola laser 2023,1
Thomas DEIMLING,,ilca 7,2.0,0,GERAL,3,,10.0,10.0,Escola laser 2023,2
Thomas DEIMLING,,ilca 7,4.0,0,GERAL,3,,10.0,10.0,Escola laser 2023,3
Steffen PÖHLMANN,,ilca 7,2.0,0,GERAL,4,,12.0,12.0,Escola laser 2023,1
Steffen PÖHLMANN,,ilca 7,5.0,0,GERAL,4,,12.0,12.0,Escola laser 2023,2
Steffen PÖHLMANN,,ilca 7,5.0,0,GERAL,4,,12.0,12.0,Escola laser 2023,3
Wolfgang NIESSEN,,ilca 7,1.0,0,GERAL,5,,13.0,13.0,Escola laser 2023,1
Wolfgang NIESSEN,,ilca 7,6.0,0,GERAL,5,,13.0,13.0,Escola laser 2023,2
Wolfgang NIESSEN,,ilca 7,6.0,0,GERAL,5,,13.0,13.0,Escola laser 2023,3
Robert FINK,,ilca 7,9.0,0,GERAL,6,,16.0,16.0,Escola laser 2023,1
Robert FINK,,ilca 7,4.0,0,GERAL,6,,16.0,16.0,Escola laser 2023,2
Robert FINK,,ilca 7,3.0,0,GERAL,6,,16.0,16.0,Escola laser 2023,3
Gerhard WEIDLICH,,ilca 7,6.0,0,GERAL,7,,22.0,22.0,Escola laser 2023,1
Gerhard WEIDLICH,,ilca 7,8.0,0,GERAL,7,,22.0,22.0,Escola laser 2023,2
Gerhard WEIDLICH,,ilca 7,8.0,0,GERAL,7,,22.0,22.0,Escola laser 2023,3
Ivo BAUER,,ilca 7,8.0,0,GERAL,8,,22.0,22.0,Escola laser 2023,1
Ivo BAUER,,ilca 7,7.0,0,GERAL,8,,22.0,22.0,Escola laser 2023,2
Ivo BAUER,,ilca 7,7.0,0,GERAL,8,,22.0,22.0,Escola laser 2023,3
Thomas SEEGER,,ilca 7,7.0,0,GERAL,9,,25.0,25.0,Escola laser 2023,1
Thomas SEEGER,,ilca 7,9.0,0,GERAL,9,,25.0,25.0,Escola laser 2023,2
Thomas SEEGER,,ilca 7,9.0,0,GERAL,9,,25.0,25.0,Escola laser 2023,3
Dieter LANGEN,,ilca 7,10.0,0,GERAL,10,,34.0,34.0,Escola laser 2023,1
Dieter LANGEN,,ilca 7,12.0,0,GERAL,10,DNC,34.0,34.0,Escola laser 2023,2
Dieter LANGEN,,ilca 7,12.0,0,GERAL,10,DNC,34.0,34.0,Escola laser 2023,3
Hartmut DREXEL,,ilca 7,11.0,0,GERAL,11,,35.0,35.0,Escola laser 2023,1
Hartmut DREXEL,,ilca 7,12.0,0,GERAL,11,DNC,35.0,35.0,Escola laser 2023,2
Hartmut DREXEL,,ilca 7,12.0,0,GERAL,11,DNC,35.0,35.0,Escola laser 2023,3
