Nome Competidor,ID Competição,Classe Vela,Pontuação Regata,Descarte,Flotilha,Posição Geral,Punição,Pontuação Total,Nett,Nome Competição,Regata
Gabriel KÖNIGSFELD,272,ilca 7,4.0,0,GERAL,1,,8.0,8.0,Auftaktregatta - ILCA 2024,1
Gabriel KÖNIGSFELD,272,ilca 7,3.0,0,GERAL,1,,8.0,8.0,Auftaktregatta - ILCA 2024,2
Gabriel KÖNIGSFELD,272,ilca 7,1.0,0,GERAL,1,,8.0,8.0,Auftaktregatta - ILCA 2024,3
Thomas W MUELLER,272,ilca 7,2.0,0,GERAL,2,,9.0,9.0,Auftaktregatta - ILCA 2024,1
Thomas W MUELLER,272,ilca 7,2.0,0,GERAL,2,,9.0,9.0,Auftaktregatta - ILCA 2024,2
Thomas W MUELLER,272,ilca 7,5.0,0,GERAL,2,,9.0,9.0,Auftaktregatta - ILCA 2024,3
Thomas ENDOM,272,ilca 7,5.0,0,GERAL,3,,12.0,12.0,Auftaktregatta - ILCA 2024,1
Thomas ENDOM,272,ilca 7,5.0,0,GERAL,3,,12.0,12.0,Auftaktregatta - ILCA 2024,2
Thomas ENDOM,272,ilca 7,2.0,0,GERAL,3,,12.0,12.0,Auftaktregatta - ILCA 2024,3
Tobias RECK,272,ilca 7,3.0,0,GERAL,4,,13.0,13.0,Auftaktregatta - ILCA 2024,1
Tobias RECK,272,ilca 7,7.0,0,GERAL,4,,13.0,13.0,Auftaktregatta - ILCA 2024,2
Tobias RECK,272,ilca 7,3.0,0,GERAL,4,,13.0,13.0,Auftaktregatta - ILCA 2024,3
Silas RECK,272,ilca 7,1.0,0,GERAL,5,,15.0,15.0,Auftaktregatta - ILCA 2024,1
Silas RECK,272,ilca 7,8.0,0,GERAL,5,,15.0,15.0,Auftaktregatta - ILCA 2024,2
Silas RECK,272,ilca 7,6.0,0,GERAL,5,,15.0,15.0,Auftaktregatta - ILCA 2024,3
Fabian SCHMITZ,272,ilca 7,11.0,0,GERAL,6,,16.0,16.0,Auftaktregatta - ILCA 2024,1
Fabian SCHMITZ,272,ilca 7,1.0,0,GERAL,6,,16.0,16.0,Auftaktregatta - ILCA 2024,2
Fabian SCHMITZ,272,ilca 7,4.0,0,GERAL,6,,16.0,16.0,Auftaktregatta - ILCA 2024,3
Jacobus den DRIJVER,272,ilca 7,7.0,0,GERAL,7,,23.0,23.0,Auftaktregatta - ILCA 2024,1
Jacobus den DRIJVER,272,ilca 7,6.0,0,GERAL,7,,23.0,23.0,Auftaktregatta - ILCA 2024,2
Jacobus den DRIJVER,272,ilca 7,10.0,0,GERAL,7,,23.0,23.0,Auftaktregatta - ILCA 2024,3
Rodolfo GALLONI,272,ilca 7,9.0,0,GERAL,8,,24.0,24.0,Auftaktregatta - ILCA 2024,1
Rodolfo GALLONI,272,ilca 7,4.0,0,GERAL,8,,24.0,24.0,Auftaktregatta - ILCA 2024,2
Rodolfo GALLONI,272,ilca 7,11.0,0,GERAL,8,,24.0,24.0,Auftaktregatta - ILCA 2024,3
Michael KUBICA,272,ilca 7,6.0,0,GERAL,9,,24.0,24.0,Auftaktregatta - ILCA 2024,1
Michael KUBICA,272,ilca 7,9.0,0,GERAL,9,,24.0,24.0,Auftaktregatta - ILCA 2024,2
Michael KUBICA,272,ilca 7,9.0,0,GERAL,9,,24.0,24.0,Auftaktregatta - ILCA 2024,3
Manuel BREIHAN,272,ilca 7,10.0,0,GERAL,10,,27.0,27.0,Auftaktregatta - ILCA 2024,1
Manuel BREIHAN,272,ilca 7,10.0,0,GERAL,10,,27.0,27.0,Auftaktregatta - ILCA 2024,2
Manuel BREIHAN,272,ilca 7,7.0,0,GERAL,10,,27.0,27.0,Auftaktregatta - ILCA 2024,3
Clemens HORSTMANN,272,ilca 7,8.0,0,GERAL,11,,35.0,35.0,Auftaktregatta - ILCA 2024,1
Clemens HORSTMANN,272,ilca 7,13.0,0,GERAL,11,,35.0,35.0,Auftaktregatta - ILCA 2024,2
Clemens HORSTMANN,272,ilca 7,14.0,0,GERAL,11,,35.0,35.0,Auftaktregatta - ILCA 2024,3
Lennart GLÄSER,272,ilca 7,12.0,0,GERAL,12,,35.0,35.0,Auftaktregatta - ILCA 2024,1
Lennart GLÄSER,272,ilca 7,11.0,0,GERAL,12,,35.0,35.0,Auftaktregatta - ILCA 2024,2
Lennart GLÄSER,272,ilca 7,12.0,0,GERAL,12,,35.0,35.0,Auftaktregatta - ILCA 2024,3
Tobias ZBORALSKI,272,ilca 7,14.0,0,GERAL,13,,36.0,36.0,Auftaktregatta - ILCA 2024,1
Tobias ZBORALSKI,272,ilca 7,14.0,0,GERAL,13,,36.0,36.0,Auftaktregatta - ILCA 2024,2
Tobias ZBORALSKI,272,ilca 7,8.0,0,GERAL,13,,36.0,36.0,Auftaktregatta - ILCA 2024,3
Thomas BRANDT,272,ilca 7,13.0,0,GERAL,14,,38.0,38.0,Auftaktregatta - ILCA 2024,1
Thomas BRANDT,272,ilca 7,12.0,0,GERAL,14,,38.0,38.0,Auftaktregatta - ILCA 2024,2
Thomas BRANDT,272,ilca 7,13.0,0,GERAL,14,,38.0,38.0,Auftaktregatta - ILCA 2024,3
Claas HEISE,272,ilca 7,15.0,0,GERAL,15,,45.0,45.0,Auftaktregatta - ILCA 2024,1
Claas HEISE,272,ilca 7,15.0,0,GERAL,15,,45.0,45.0,Auftaktregatta - ILCA 2024,2
Claas HEISE,272,ilca 7,15.0,0,GERAL,15,,45.0,45.0,Auftaktregatta - ILCA 2024,3
